genome_name	genome	taxonomy	K03639	K20967	K03637	K03635	K21142	K03831	K03638	K15376	K03750	K07141	K13818	K03752	K03636	K21232	K04487	K21028	K11996	K21029	K21147	K15631	K20625	K08356	K08351	K16964	K07306	K10700	K22341	K22516	K22015	K05299	K00123	K08348	K18558	K00201	K02567	K00367	K00370	K00372	K03934	K18361	K08352	K23302	K24713	K17050	K21307	K17219	K07812	K07811	K08357	K07309	K07147	K10534	K05301	K00387	K17225	K03738	K11389	K19515	K00157	K09842	K12528	K03520	K11817	K22417	K04108	K24716	K16877	K19187	K18020	K19820	K20171	K07303	K07469	K20447	K20448	K13482	K00106	K11177	K00087	K18030	K02588	K02586	K02591	K22896	K22897	K22898	K22899	K00531	K02587	K02592	K02585	K00947	K15790	K02018	K02017	K02020	K15496	K15497	K15495	K05773	K06857	K05772
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Micrococcineae_Dermatophilaceae_Austwickia_chelonae_NBRC_105200	GCA_000298175.1	Actinobacteria	5.9e-14		4.2e-71	7e-45		8.4e-35			1.4e-152	4.6e-40		6.9e-29	5.1e-15		2.8e-146				1.2e-142				0.0		0.0												0.0														5.100000000000001e-21																						6.3e-298			0.0																		5.3999999999999996e-95	6.8e-110	3.6e-67						
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Micrococcineae_Dermatophilaceae_Kineosphaera_limosa_NBRC_100340	GCA_000298215.1	Actinobacteria	1.8e-141		2.2e-73	1.7e-51		3e-46			4.699999999999999e-146	5.299999999999999e-40		1.3999999999999999e-24	2.7e-16		3.5000000000000004e-129				2e-139				0.0									6.6e-304					0.0	2.8000000000000003e-276													5.5e-20		1.8e-44									0.0										1.8000000000000002e-185				0.0		2.8e-260																3.3e-100	1.9e-123	2.2e-76						
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Micrococcineae_Dermatophilaceae_Mobilicoccus_pelagius_NBRC_104925	GCA_000247995.2	Actinobacteria	9.6e-145		5.6e-76	2e-50		8.7e-37			1.5e-149	1.1e-43		2.9e-25	1.1e-13		5.8e-147				7.2e-140				0.0		0.0		0.0					1.9999999999999998e-250					0.0														1.6e-44	3.8e-18		2.7000000000000002e-132																								3.2e-275																1.9e-97	2.4000000000000002e-116	2.6999999999999998e-67						
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Micrococcineae_Intrasporangiaceae_Intrasporangium_calvum_DSM_43043	GCA_000184685.1	Actinobacteria	3.1999999999999997e-140		5.1e-74	1.1e-47		2.6000000000000002e-37			7.000000000000001e-109	6.8e-41		2.4e-35	3.2e-15		5.7e-72				1.2999999999999999e-141												0.0					1.8e-237	0.0				9.2e-146										5.7999999999999995e-34		3.3e-45									4.7e-296														0.0																		4.4e-94	1.9e-111	7.4e-61						
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Micrococcineae_Intrasporangiaceae_Janibacter_sp._HTCC2649	GCA_000152705.1	Actinobacteria	4.599999999999999e-140		1.2e-73	2.6e-47		8.9e-39			8.4e-146	4.8999999999999994e-42		3.7999999999999995e-24	2.6e-19		4.7e-143			3.7e-58	4.5e-135												2.9e-97						0.0	9.599999999999999e-285			4.9000000000000003e-110										6.1e-19		3.2e-53									0.0										2.8e-189				0.0																		1.5e-105	5.2e-120	7.8e-69						
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Micrococcineae_Intrasporangiaceae_Tetrasphaera_elongata_DSM_14184	GCA_000367525.2	Actinobacteria	9.5e-14		7.700000000000001e-75	2.8e-52		7.299999999999999e-45			6.7e-144	1.7999999999999998e-42		2.4e-35	4.8e-14		9.1e-148				6e-127												0.0						0.0				7.700000000000001e-110											1.7e-17	9.2e-45									0.0																																6.1e-97	2e-117	2.5e-59						
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Micrococcineae_Jonesiaceae_Jonesia_denitrificans_DSM_20603	GCA_000024065.1	Actinobacteria	4.4e-133		1.9e-79	7.1e-41					1.4e-101			1.5e-33	9.5e-13		1.7999999999999999e-149				4.5e-108																		0.0	4.9000000000000005e-273																																																								1.3e-91	3.2000000000000005e-79	7.300000000000001e-66						
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Micrococcineae_Microbacteriaceae_Clavibacter_michiganensis_subsp._michiganensis_NCPPB_382	GCA_000069225.1	Actinobacteria	7.5e-140		2.3e-76	1.2e-45		4.100000000000001e-37			5.599999999999999e-135				5.9e-14		7.2e-140				5.999999999999999e-126																																6.4e-19										0.0																																	2.4e-99	2.0999999999999997e-104	1.8e-66						
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Micrococcineae_Microbacteriaceae_Curtobacterium_flaccumfaciens_UCD_AKU	GCA_000349565.1	Actinobacteria	9.9e-131		2.9e-80	6e-44			9.1e-30		2e-112				3.6e-15		7.2e-148				7.300000000000001e-79																																2.6e-18		1.6000000000000002e-47																																									1.4e-96	7.6e-63	4.9e-72						
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Micrococcineae_Microbacteriaceae_Curtobacterium_sp._9128	GCA_900086645.1	Actinobacteria	1.2e-131		1.4e-77	1.7e-45			4e-28		3.1e-110	6.5e-39			2.1e-16		1.7e-147				2.7e-84																																4.5e-20		3.6e-45								0.0																																	4.6e-95	3.2e-94	2.8e-74					2.9e-24	
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Micrococcineae_Microbacteriaceae_Leifsonia_xyli_xyli_CTCB07	GCA_000007665.1	Actinobacteria															2.7e-158																																																																																							
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Micrococcineae_Micrococcaceae_Arthrobacter_phenanthrenivorans_Sphe3	GCA_000189535.1	Actinobacteria	1.8e-16		9.4e-81	5.0999999999999995e-48		1.2e-41			1.2e-133			6.6e-34	7.4e-15		3.7000000000000005e-163			8.5e-41	3.7e-148												4.6000000000000003e-88					5.8e-227	0.0	4.9e-269															3.4000000000000003e-85								0.0																																	1.4e-103	4e-119	7.199999999999999e-74						
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Micrococcineae_Micrococcaceae_Kocuria_rhizophila_DC2201	GCA_000010285.1	Actinobacteria	8.999999999999999e-134		2.3e-84	2.3e-45					9.1e-119			6.899999999999999e-30	2.5e-17		1.2e-142				2.6e-145													3.5999999999999995e-300																																												0.0																		2.9e-144		6.3e-76						
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Micrococcineae_Micrococcaceae_Micrococcus_luteus_NCTC_2665	GCA_000023205.1	Actinobacteria															4.9e-133			8.7e-13	7.6e-125																																																																																			
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Micrococcineae_Micrococcaceae_Renibacterium_salmoninarum_ATCC_33209	GCA_000018885.1	Actinobacteria	3.9e-15		8.4e-83	4.7e-49		8.399999999999999e-40			1.1e-130			1.1e-07	6e-18		4.9e-148				1.1e-134												8.6e-07																				2.1e-17		3e-43																																									9.4e-85		3.8999999999999996e-54						
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Micrococcineae_Promicromonosporaceae_Isoptericola_variabilis_225	GCA_000215105.1	Actinobacteria	2.2000000000000003e-129		2.0000000000000003e-79	1.1e-45					2.5000000000000002e-163			2e-27	2.4e-22		2.3e-95			7.1e-13	1.5e-135																			9.999999999999999e-288													1.4e-22		3.8000000000000005e-43																																									8.399999999999999e-94		5.1e-60						
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Micrococcineae_Promicromonosporaceae_Xylanimonas_cellulosilytica_DSM_15894	GCA_000024965.1	Actinobacteria	1.8e-131		2.4e-78	1.4e-51					1.9e-125			1.1e-25	1.1e-18		8.4e-147			6.3e-14	2.7e-130																		0.0	3.5e-284															8.9e-46																																									2.6e-108	3.2e-118	2.5000000000000003e-79						
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Micrococcineae_Sanguibacteraceae_Sanguibacter_keddieii_DSM_10542	GCA_000024925.1	Actinobacteria	6.6e-15								6.5999999999999996e-108						1.9e-151																																																																																							
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Micromonosporineae_Micromonosporaceae_Actinoplanes_missouriensis_NBRC_102363	GCA_000284295.1	Actinobacteria	1.5e-139		3.4e-76	5e-49		1.7e-41			4.8e-114	9e-49		5.1e-38	3.4e-19		1e-160			2.9999999999999996e-42	6.2e-159												2.5e-46	1.4e-245				3.6000000000000003e-272	0.0				1.9e-113										1.8e-20		3.2000000000000004e-47								0.0	0.0										1.4999999999999998e-189						2.4e-297																1.7999999999999998e-115	8.8e-131	1.4e-74						
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Micromonosporineae_Micromonosporaceae_Micromonospora_sp._L5	GCA_000177655.2	Actinobacteria	2.1e-143		4.6e-77	2.4e-50		3.7e-40			1.7e-110	4.5e-46		3.9e-38	1.5e-20		2.2e-118				6.500000000000001e-160													2.5e-294					0.0	0.0			5.9e-117										2.3000000000000004e-21		2.2e-51	2.0000000000000002e-77								0.0										2.6e-13																						1.3e-113	3.4999999999999997e-131	2.9e-74						
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Micromonosporineae_Micromonosporaceae_Verrucosispora_maris_AB_18_032	GCA_000204155.1	Actinobacteria	7.2e-15		1.3e-77	5e-51		3.5e-41			9.1e-113			8e-36	8.2e-22		3.5e-116				6.8e-160												2.4e-44	4.6e-242						4.9e-290													1.4000000000000002e-21																																											6.799999999999999e-113	1.0000000000000001e-132	3.7e-78						
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Propionibacterineae_Nocardioidaceae_Aeromicrobium_marinum_DSM_15272	GCA_000160775.2	Actinobacteria	1.5999999999999998e-134		2.1e-78	1e-48		1.1e-39			7.6e-146			5.8e-30	1.2e-13		9.9e-150				8.5e-153												5.6e-99							1.3e-271													1.5e-16		6.9e-50																			4.9999999999999996e-197																						1.1e-106	3.6e-126	1.0000000000000001e-72						
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Propionibacterineae_Nocardioidaceae_Kribbella_flavida_DSM_17836	GCA_000024345.1	Actinobacteria	3.7e-142		4.3e-78	7.1e-51		2e-41			1.1e-157	1.7000000000000002e-32		1.3e-31	5.9e-19		1.8e-104				4.6e-149												7.7e-93						0.0	2.2e-281			7.4e-126										1.5000000000000001e-21		1.9000000000000002e-85			2.6999999999999997e-180																																						7.6e-108	1.5e-128	7.6e-77				4.0000000000000004e-72	7.1e-83	1.4000000000000001e-109
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Propionibacterineae_Nocardioidaceae_Nocardioidaceae_bacterium_Broad_1_cont1.61	GCA_000192415.1	Actinobacteria	8.5e-137		7.799999999999999e-83	6.6e-51		3.3000000000000002e-37			1.7e-150	5.8e-39			6.4e-16		3e-160			1.6e-13	2.6e-148				0.0								3.5e-90							2.1e-288													4.9e-18		7.1e-51	8.5e-08								0.0										2e-81																						1.2e-105		1.2999999999999998e-74						
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Propionibacterineae_Nocardioidaceae_Nocardioides_sp._JS614	GCA_000015265.1	Actinobacteria	1.4e-134		1.9e-83	2.4e-49		2.5000000000000003e-37			4.7e-155	2.7999999999999997e-42		3.6000000000000006e-27	1.3e-22		1.3e-162				4.1e-146				0.0								4.4e-98					2.3e-230	0.0	3.7e-291			1.1e-141										1.2999999999999999e-54		2.2e-44	1.3999999999999998e-42							0.0	1.7e-291						0.0		0.0						0.0			1.0999999999999999e-180	2.9999999999999998e-174														1.7e-106	1.5e-125	1.2999999999999998e-74						
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Propionibacterineae_Propionibacteriaceae_Microlunatus_phosphovorus_NM_1	GCA_000270245.1	Actinobacteria	3.3e-138		5.5e-81	4.2e-44		3.5e-36			1.6e-141			9.3e-24	1.2000000000000002e-21		4.6e-150			3.7e-14	4.1e-150				0.0								8.000000000000001e-88	9.999999999999999e-298					0.0	5.9e-295															8.2e-47		1.3e-13																																							2.7e-108	2.1000000000000003e-117	4.2e-69						
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Propionibacterineae_Propionibacteriaceae_Propionibacterium_acnes_KPA171202	GCA_000008345.1	Actinobacteria	5.1e-122		1.4999999999999998e-67	4.0999999999999995e-42		3.9e-38			3e-130			1.2e-26	2e-17		8.2e-126				4.9e-99						0.0												0.0																																																									7.799999999999999e-140		1.1e-68						
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Pseudonocardineae_Pseudonocardiaceae_Actinoalloteichus_cyanogriseus_DSM_43889	GCA_000429185.2	Actinobacteria	3.7e-141		1.3e-81	4.8e-47		6.7e-35			1.4000000000000001e-123	6e-50		3.1e-28	8.500000000000001e-21		7.3e-153			1.4e-12	1.4e-157												5e-59	1.3e-303				5.5e-227		9.2e-294															4.3000000000000004e-43								0.0																	8.9e-300																2.3e-109	3.4999999999999997e-113	2.2e-73						
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Pseudonocardineae_Pseudonocardiaceae_Actinosynnema_mirum_DSM_43827	GCA_000023245.1	Actinobacteria	1.5e-14		1.5e-79	6.7e-48		1.8999999999999998e-42			1.3000000000000002e-124			2.1000000000000002e-32	1.7e-19		5.9999999999999995e-142			1.7e-11	9.200000000000001e-160												3.2999999999999996e-94						0.0	7.5e-287															2.6e-07								0.0											4.3e-216																						9.099999999999999e-111	3.4000000000000003e-122	5.4e-72						
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Pseudonocardineae_Pseudonocardiaceae_Amycolatopsis_mediterranei_RB	GCA_000454025.1	Actinobacteria	1.4e-15		1.3e-77	3e-48		2.6e-36			2e-123	4.6e-53		4.6000000000000004e-33	8.599999999999999e-23		2.5e-161			1.4e-17	2.1e-158								2.5e-211			6.3e-82	4.5e-100	3.8999999999999995e-300				1.7e-93		5.7e-290			3.6e-157										4.1e-17		2.7999999999999998e-45									2.3000000000000002e-281										3.6e-202						2.2e-18	1.9e-197															1e-96	1.6e-117	1.8e-71						
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Pseudonocardineae_Pseudonocardiaceae_Kutzneria_albida_DSM_43870	GCA_000525635.1	Actinobacteria	3.2e-15		3.5e-80	4.1e-49		1.3e-36			3.5e-153	4.2e-49		3.6999999999999996e-30	8.700000000000001e-21		3.1e-158				4e-160												1.1000000000000001e-100							1.5e-297													3.8e-19			5.6e-46																		4.2e-208						4.3e-277	1.0999999999999999e-197															6e-97	6.6e-128	6.5e-71						
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Pseudonocardineae_Pseudonocardiaceae_Pseudonocardia_dioxanivorans_CB1190	GCA_000196675.2	Actinobacteria	2.8e-143		4.6e-78	8.5e-44		1.7e-37			1.4e-104	2.4e-50		3.3e-47	6.5e-22		2.1e-157			3.4e-10	6.0000000000000005e-155				0.0					9.700000000000001e-209		3.5e-79	0.0	6.1e-300				3.5e-219	0.0	7.8e-290			3.1e-95										7.799999999999999e-30		3.8e-40	5.7e-17								0.0				0.0	0.0					1.7999999999999997e-189						1e-278	1.3000000000000001e-200															5.300000000000001e-100	2.2e-120	1.5999999999999998e-67						
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Pseudonocardineae_Pseudonocardiaceae_Saccharomonospora_viridis_DSM_43017	GCA_000023865.1	Actinobacteria	3.4e-13		2.5999999999999997e-82	1.6000000000000002e-47		6.4e-36			7.499999999999999e-147	4.9999999999999996e-54		7.800000000000001e-35	2.9e-20		1.3000000000000001e-157			1.7e-14	3.9e-158												1.1e-95	1.1e-303				7.4e-237																										1.9e-294																2.5e-295																1.4e-99	2.1e-120	2.9e-74						
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Pseudonocardineae_Pseudonocardiaceae_Saccharopolyspora_erythraea_NRRL_2338	GCA_000062885.1	Actinobacteria	5.5e-141		9.5e-78	1.2e-47		6.5e-35			3.4e-123	8.8e-53		9.300000000000001e-35	1.2e-17		1.1e-151				1.4e-156											0.0	5e-93	1.9e-243					0.0	1.8e-254													1.1e-25		4.2e-88	1.7e-46								0.0						7.3e-287				5.5e-195						0.0	6.3000000000000006e-195															4.7999999999999996e-89	1.7e-129	6.4999999999999994e-74						
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Pseudonocardineae_Pseudonocardiaceae_Saccharothrix_espanaensis_DSM_44229	GCA_000328705.1	Actinobacteria	6.6e-144		5.700000000000001e-79	3.4999999999999998e-46		1.3999999999999999e-45			1.3e-148			2.3000000000000002e-35	4.4e-23		8.5e-140			9.1e-08	1.2000000000000002e-157				0.0								4.8e-100					7.799999999999999e-233																	2.9e-10									1.3e-287																2.6999999999999998e-297	8e-187															1.5000000000000002e-110	4.5e-130	6.4e-69						
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Pseudonocardineae_Pseudonocardiaceae_Thermobispora_bispora_DSM_43833	GCA_000092645.1	Actinobacteria	1.9999999999999998e-138		4.2e-81	3.2e-51		2.3e-50			2e-158	1.3e-55		1e-32	1.7e-19		2.7e-167			1.8e-20	1.2000000000000001e-160																	3.2e-155					1.8e-143																					0.0																	1.1e-196															4.3e-112	1.1e-127	4e-10						
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Streptomycineae_Streptomycetaceae_Kitasatospora_setae_KM_6054_NBRC_14216	GCA_000269985.1	Actinobacteria	1.9e-139		1.2e-81	2.4999999999999997e-55		5.3e-49			6.900000000000001e-125	2.8e-48		1.2e-33	2.2999999999999998e-23		2.7e-152			4.7e-07	3.4e-153				0.0								8.7e-81					1.0999999999999999e-268		9.9e-298													2.7e-23		2.5e-45																										3.5999999999999996e-170															1.5000000000000001e-117	8.4e-135	1.9e-69						
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Streptomycineae_Streptomycetaceae_Streptomyces_coelicolor_A32	GCA_000203835.1	Actinobacteria	1.8e-12		1.8000000000000002e-85	1.0999999999999998e-54		2.4e-47			9.8e-153			5.6e-35	7.7e-24		3.7e-151			4.2e-15	2.6e-153									4.1000000000000006e-210		4.5e-82	9.3e-91					9.9e-229	0.0	0.0			3.7e-115										4.8e-17		1.2999999999999999e-46																							0.0		0.0	7.3e-166															3.9e-119	7.800000000000001e-132	8.1e-73						
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Streptomycineae_Streptomycetaceae_Streptomycetaceae_bacterium_MP113_05	GCA_000497405.1	Actinobacteria	4e-142		7.1e-93	9.299999999999999e-52					4.1e-109			1.4e-16	5.2e-19		9.4e-151				1.1e-155												1.9000000000000002e-99																				5.299999999999999e-23		3.5000000000000004e-43									0.0																7.2e-301	1.0999999999999999e-170															9.999999999999999e-112	1.6000000000000001e-87	4.6e-74						
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Streptosporangineae_Nocardiopsaceae_Marinactinospora_thermotolerans_DSM_45154	GCA_900167435.1	Actinobacteria	4.1e-14		1.5e-77	1e-49		5.1000000000000004e-36			1.6e-112	9.100000000000001e-56		3.7e-40	2.2e-22		5.1000000000000004e-155				4.1e-158	1.9e-100			0.0				3.3e-221			1.2e-79	1.6e-96	2.0999999999999998e-299					0.0	1.4000000000000002e-291													2.3e-26											4.8e-289																1.3999999999999999e-171	1.1e-196															1.1000000000000001e-110	6.400000000000001e-123	1.3e-73						
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Streptosporangineae_Nocardiopsaceae_Nocardiopsis_alba_ATCC_BAA_2165	GCA_000294515.1	Actinobacteria	7.8e-136		1.8e-66	1.5e-49		2.7000000000000003e-35			2.2e-102	5.2e-45		7.000000000000001e-32	1.4e-16		1.5999999999999999e-152				1.2e-159				0.0								5e-90	4.5e-253					0.0	6.999999999999999e-288													1e-24																									0.0			3.2e-195															1.4e-111	4.4e-123	1e-73						
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Streptosporangineae_Streptosporangiaceae_Microbispora_sp._ATCC_PTA_5024	GCA_000511135.2	Actinobacteria	4.2e-137		5.1e-82	1.7e-50		1.2999999999999999e-46			1.7e-154	6.2e-53		2.3000000000000002e-35	2.3e-19		1.8e-167			6.3e-06	2.2e-152												1.1e-47					2.7e-160		7.1e-301			3.3999999999999997e-137										4.7e-28		7.7e-55	9.8e-87								4.8e-295																	8.4e-193															7.4999999999999995e-115	5.9e-127	2.5e-78						
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Streptosporangineae_Streptosporangiaceae_Streptosporangium_roseum_DSM_43021	GCA_000024865.1	Actinobacteria	7e-140		2.3e-78	2.1e-51		1.1999999999999999e-46			5e-154	7.4e-56		1.8e-35	3.8e-20		6.0000000000000006e-161			2.2e-15	2.9e-156												4.2e-98	1.1999999999999998e-300					0.0	1.5e-301			3.9e-128										6.2000000000000004e-21		1e-11	4e-82								0.0										2.1e-192						1.2000000000000001e-164	2.8e-189															6.5e-114	9.2e-132	1e-09						
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Streptosporangineae_Thermomonosporaceae_Thermomonospora_curvata_DSM_43183	GCA_000024385.1	Actinobacteria	5.9e-143		2.7e-84	9.500000000000001e-56		5.4e-44			6.8e-151	5.9e-53		3.8e-38	2.1e-16		6.900000000000001e-161			7.8e-77	1.2e-156				0.0								2.6e-100							0.0			1.2999999999999999e-141										2.4e-22			1.1e-90								0.0																																1.4e-113	3.6e-124	1.4000000000000001e-59						
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_animalis_animalis_ATCC_25527	GCA_000260715.1	Actinobacteria	1.1e-07																																																																																																					
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Bifidobacteriales_Bifidobacteriaceae_Gardnerella_vaginalis_409_05	GCA_000025205.1	Actinobacteria	9e-09																		5.9e-88																																																																																			
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Bifidobacteriales_Bifidobacteriaceae_Parascardovia_denticolens_DSM_10105_Contig1484	GCA_000191785.1	Actinobacteria																		6.5e-47																																																																																				
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Bifidobacteriales_Bifidobacteriaceae_Scardovia_inopinata_F0304_genomic_scaffold_supercont1.1	GCA_000163755.1	Actinobacteria	2.3e-06																																																																																																					
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Bifidobacteriales_unclassified_Bifidobacteriales_Turicella_otitidis_ATCC_51513	GCA_000296405.1	Actinobacteria	5.1e-133		1.6e-68	5.2e-47		5.2e-27	5.1e-33		3.1e-109			2e-23	5.6e-16		6.600000000000001e-129			2e-49	5.6e-110												6.7e-49	5.7e-255																																																														5.099999999999999e-128		2.2e-58						
Bacteria_Actinobacteria_Actinobacteria_Coriobacteridae_Coriobacteriales_Coriobacterineae_Coriobacteriaceae_Adlercreutzia_equolifaciens_DSM_19450	GCA_000478885.1	Actinobacteria	7e-06		4.1e-83			8.8e-57			2.3e-137		1.0999999999999999e-74				1.2e-185										2.3e-135				0.0			2.6e-192			0.0						2.9999999999999996e-119				2.5e-136					0.0			1.1000000000000001e-29			1.2000000000000002e-124																																						4e-106	2.9e-98	7.5e-53						
Bacteria_Actinobacteria_Actinobacteria_Coriobacteridae_Coriobacteriales_Coriobacterineae_Coriobacteriaceae_Atopobium_parvulum_DSM_20469	GCA_000024225.1	Actinobacteria	9.2e-112		6.1e-85			3.8e-12			2e-18	7.499999999999999e-40					8e-117																																																										4.5e-301																					1.1e-77	2.7e-107	3.7e-63						
Bacteria_Actinobacteria_Actinobacteria_Coriobacteridae_Coriobacteriales_Coriobacterineae_Coriobacteriaceae_Atopobium_rimae_ATCC_49626	GCA_000174015.1	Actinobacteria	4.3e-117		1.3e-86			4.6e-12			3.2e-17	3.0999999999999997e-46					7.1e-126																																																										1.7999999999999998e-298						3.1e-266															6.3e-78	8.2999999999999995e-106	1.1e-64						
Bacteria_Actinobacteria_Actinobacteria_Coriobacteridae_Coriobacteriales_Coriobacterineae_Coriobacteriaceae_Collinsella_intestinalis_DSM_13280	GCA_000156175.1	Actinobacteria	1.8000000000000003e-129		3.2e-83			1.9e-50			1.2e-134						1.5000000000000001e-123																																									3.1e-118																																						4.8e-98	2.6999999999999998e-101	3.8e-55						
Bacteria_Actinobacteria_Actinobacteria_Coriobacteridae_Coriobacteriales_Coriobacterineae_Coriobacteriaceae_Coriobacterium_glomerans_PW2_DSM_20642	GCA_000195315.1	Actinobacteria															4.4e-123																																																																																							
Bacteria_Actinobacteria_Actinobacteria_Coriobacteridae_Coriobacteriales_Coriobacterineae_Coriobacteriaceae_Cryptobacterium_curtum_DSM_15641	GCA_000023845.1	Actinobacteria	8.1e-126		1.4e-84			6.8e-60			3.1e-71		3.7e-74				5.9999999999999995e-142			1.9e-20									0.0		0.0			0.0					4.9e-134				4.2e-196									0.0						1.9e-122																																						8.7e-105	9.2e-103	1.9999999999999998e-54						
Bacteria_Actinobacteria_Actinobacteria_Coriobacteridae_Coriobacteriales_Coriobacterineae_Coriobacteriaceae_Denitrobacterium_detoxificans_DSM_21843	GCA_900110565.1	Actinobacteria	1.9e-127		1.3e-83			1.6000000000000002e-56			4.2e-138		7.1e-83				1.7e-124						4.8e-159				4.7e-132		1.4e-226		2.8e-270	1.4e-119		7.1000000000000005e-56			0.0						4.7e-148				4.2999999999999995e-115					0.0						4.6e-124																																						6.3e-103	1.1000000000000001e-96	4.7e-52		3.7999999999999997e-90				
Bacteria_Actinobacteria_Actinobacteria_Coriobacteridae_Coriobacteriales_Coriobacterineae_Coriobacteriaceae_Eggerthella_lenta_DSM_2243	GCA_000024265.1	Actinobacteria	3e-07		2.6e-84			9.8e-10			1.3e-77		7e-77				2.3e-141										1.1e-161		0.0		0.0			4.3e-55			0.0						3.2999999999999997e-131				1.3e-139				1.7e-295	0.0			1.6000000000000001e-75			9.3e-127																																						6e-102	3.4999999999999997e-104	2.4e-51						
Bacteria_Actinobacteria_Actinobacteria_Coriobacteridae_Coriobacteriales_Coriobacterineae_Coriobacteriaceae_Eggerthella_sp._YY7918	GCA_000270285.1	Actinobacteria	4.4e-131		2.2e-85			2.8e-58					2.9e-79				3.6e-141										7.999999999999999e-229		1.4e-232			9.100000000000001e-79					0.0						5.2e-128								9.7e-284	0.0																																												7.8e-105	1.6e-102	4.3e-55						
Bacteria_Actinobacteria_Actinobacteria_Coriobacteridae_Coriobacteriales_Coriobacterineae_Coriobacteriaceae_Enterorhabdus_caecimuris_B7	GCA_000403355.2	Actinobacteria	9.4e-130		5e-84			4.8e-12			1.6e-138		1.4e-78				9.9e-185										7.1e-235		0.0		0.0			3.2e-215			0.0						1.4999999999999999e-114				7.7e-113					0.0			9.300000000000001e-35			4.1e-123																																						5.5e-106	4.7e-101	4e-49						
