genome_name	genome	taxonomy	temperature	oxygen	pH	habitat	habitat_diversity
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cyclobacteriaceae_Aquiflexum_balticum_BA160_DSM_16537	GCA_900176595.1	Bacteroidetes	32.37752403	aerobe	5.9245024	Saline	4.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cyclobacteriaceae_Belliella_baltica_BA134_DSM_15883	GCA_000265405.1	Bacteroidetes	30.70226006	aerobe	6.1720796	Saline	6.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cyclobacteriaceae_Cecembia_lonarensis_LW9	GCA_000298295.1	Bacteroidetes	35.81551994	aerobe	6.497155	Terrestrial	22.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cyclobacteriaceae_Cyclobacterium_marinum_DSM_745	GCA_000222485.1	Bacteroidetes	32.07064033	aerobe	6.057881	Saline	5.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cyclobacteriaceae_Echinicola_vietnamensis_KMM_6221_DSM_17526	GCA_000325705.1	Bacteroidetes	34.47328727	aerobe	6.1375556	Saline	1.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cyclobacteriaceae_Indibacter_alkaliphilus_LW1_Draft1	GCA_000295935.2	Bacteroidetes	33.40867897	aerobe	6.2973843		
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cyclobacteriaceae_Mariniradius_saccharolyticus_AK6	GCA_000330725.2	Bacteroidetes	35.45425094	aerobe	6.8509326		
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Anditalea_andensis_LY1	GCA_000714815.1	Bacteroidetes	31.01476428	aerobe	5.887325	Saline	5.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Cytophaga_hutchinsonii_ATCC_33406	GCA_000014145.1	Bacteroidetes	28.66834519	aerobe	5.7784705	Terrestrial	6.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Dyadobacter_fermentans_DSM_18053	GCA_000023125.1	Bacteroidetes	33.14605351	aerobe	4.915322	Plant	3.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Emticicia_oligotrophica_GPTSA100_15_DSM_17448	GCA_000263195.1	Bacteroidetes	29.24497497	aerobe	6.316469	Freshwater	1.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Fibrella_aestuarina	GCA_000331105.1	Bacteroidetes	37.40690995	aerobe	5.3875666		
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Fibrisoma_limi_BUZ_3	GCA_000296815.2	Bacteroidetes	38.40277125	aerobe	5.335059		
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Flexibacter_litoralis_Fx_l1_DSM_6794	GCA_000265505.1	Bacteroidetes	27.19211269	aerobe	5.1430564	Freshwater	2.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Hymenobacter_sp._APR13	GCA_000737515.1	Bacteroidetes	39.29950268	aerobe	6.9588995	Terrestrial	4.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Leadbetterella_byssophila_DSM_17132	GCA_000166395.1	Bacteroidetes	31.63249684	aerobe	5.6289463	Host-associated	3.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Microscilla_marina_ATCC_23134_unfinished_sequence	GCA_000169175.1	Bacteroidetes	32.71607134	aerobe	5.4906874	Saline	1.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Runella_slithyformis_LSU4_DSM_19594	GCA_000218895.1	Bacteroidetes	35.62858462	aerobe	5.186795	Engineered	1.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Spirosoma_linguale_DSM_74	GCA_000024525.1	Bacteroidetes	35.80984909	aerobe	5.493019	Terrestrial	1.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Flammeovirgaceae_Cesiribacter_andamanensis_AMV16	GCA_000348925.1	Bacteroidetes	35.07545283	aerobe	5.5929966	Terrestrial	2.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Flammeovirgaceae_Fulvivirga_imtechensis_AK7	GCA_000331535.1	Bacteroidetes	33.86725331	aerobe	6.2533236		
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Flammeovirgaceae_Marivirga_tractuosa_DSM_4126	GCA_000183425.1	Bacteroidetes	27.11741917	aerobe	6.4063716	Saline	6.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Blattabacteriaceae_Blattabacterium_sp._Blattella_germanica_str._Bge	GCA_000022605.2	Bacteroidetes	37.2267353	anaerobe	7.2905135		
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Cryomorphaceae_Fluviicola_taffensis_RW262_DSM_16823	GCA_000194605.1	Bacteroidetes	20.137488	aerobe	5.7798586	Saline	5.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Cryomorphaceae_Owenweeksia_Owenweeksia_hongkongensis_DSM_17368	GCA_000236705.1	Bacteroidetes	26.9737622	aerobe	6.1978416	Saline	1.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Aequorivita_sublithincola_QSSC9_3_DSM_14238	GCA_000265385.1	Bacteroidetes	28.72325352	aerobe	6.660504	Saline	8.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Bergeyella_zoohelcum_CCUG_30536	GCA_000301095.1	Bacteroidetes	30.19398576	anaerobe	7.6186085	Host-associated	12.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Bizionia_argentinensis_JUB59_DSM_19628	GCA_000224335.2	Bacteroidetes	25.40179887	aerobe	5.7357144	Saline	11.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Capnocytophaga_ochracea_DSM_7271	GCA_000023285.1	Bacteroidetes	36.74937297	anaerobe	6.7195816	Host-associated	9.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Cellulophaga_lytica_HI1	GCA_000750195.1	Bacteroidetes	21.13992708	aerobe	6.1379433	Saline	12.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Croceibacter_atlanticus_HTCC2559_Re_annotation_of_existing_genome_that_was_not_originally_submitted_by_me	GCA_000196315.1	Bacteroidetes	20.88401499	aerobe	5.719938	Saline	7.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Donghaeana_dokdonensis_DSW_6	GCA_000332115.1	Bacteroidetes	22.69790252	aerobe	6.6137414	Saline	13.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Elizabethkingia_anophelis_NUH6	GCA_000495935.2	Bacteroidetes	32.42581356	aerobe	6.398947	Host-associated	10.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Flavobacterium_psychrophilum_JIP0286	GCA_000064305.2	Bacteroidetes	22.43181282	aerobe	6.4293776	Saline	15.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Formosa_agariphila_KMM_3901	GCA_000723205.1	Bacteroidetes	22.10648599	aerobe	6.9247046	Saline	6.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Galbibacter_sp._ck_I2_15	GCA_000300875.1	Bacteroidetes	30.26062692	aerobe	6.592305	Saline	22.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Gramella_forsetii_KT0803	GCA_000060345.1	Bacteroidetes	30.93597014	aerobe	6.260129	Saline	8.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Imtechella_halotolerans_K1	GCA_000260835.1	Bacteroidetes	30.78628664	aerobe	6.217212	Saline	21.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Joostella_marina_En5_DSM_19592	GCA_000260115.1	Bacteroidetes	28.09043203	aerobe	6.636694	Saline	13.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Kordia_algicida_OT_1_unfinished_sequence	GCA_000154725.1	Bacteroidetes	23.84756837	aerobe	7.098647	Saline	17.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Krokinobacter_sp._4H_3_7_5	GCA_000212355.1	Bacteroidetes	22.72225171	aerobe	5.3882976	Saline	16.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Lacinutrix_sp._5H_3_7_4	GCA_000211855.3	Bacteroidetes	18.30744426	aerobe	6.512548	Saline	11.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Leeuwenhoekiella_blandensis_MED217	GCA_000152985.1	Bacteroidetes	30.32166091	aerobe	5.6770506	Saline	5.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Lutibacter_sp._Hel_I_33_5	GCA_001543325.1	Bacteroidetes	23.25105632	aerobe	6.148967	Saline	16.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Muricauda_ruestringensis_B1_DSM_13258	GCA_000224085.1	Bacteroidetes	31.89670507	aerobe	6.579354	Saline	14.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Myroides_odoratimimus_CCUG_12700	GCA_000413415.1	Bacteroidetes	28.51264154	aerobe	7.1152	Saline	19.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Olleya_sp._Hel_I_94	GCA_007827365.1	Bacteroidetes	19.82819984	aerobe	6.276843	Saline	11.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Ornithobacterium_rhinotracheale_DSM_15997	GCA_000265465.1	Bacteroidetes	36.09897539	anaerobe	5.714057	Host-associated	1.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Polaribacter_sp._MED152	GCA_000152945.2	Bacteroidetes	19.46214583	aerobe	6.1857285	Saline	13.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Psychroflexus_gondwanensis_ACAM_44	GCA_000355905.1	Bacteroidetes	26.07890362	aerobe	6.5688634	Freshwater	11.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Riemerella_anatipestifer_RA_CH_2	GCA_000331695.1	Bacteroidetes	32.64336036	anaerobe	7.2318373	Host-associated	15.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Robiginitalea_biformata_HTCC2501	GCA_000024125.1	Bacteroidetes	33.15744403	aerobe	5.619365	Saline	9.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Sinomicrobium_oceani_CGMCC_1.12145	GCA_900119185.1	Bacteroidetes	34.79409448	aerobe	6.155293	Saline	12.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Weeksella_virosa_DSM_16922	GCA_000189415.1	Bacteroidetes	32.04735587	aerobe	5.389617	Host-associated	2.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Winogradskyella_psychrotolerans_RS_3	GCA_000427335.1	Bacteroidetes	18.83647826	aerobe	6.193924		
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Zhouia_amylolytica_AD3	GCA_000511935.2	Bacteroidetes	31.40828152	aerobe	6.951191	Saline	14.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Zunongwangia_profunda_SM_A87	GCA_000023465.1	Bacteroidetes	32.35252544	aerobe	6.123218	Saline	8.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriales_bacterium_HTCC2170	GCA_000153165.2	Bacteroidetes	26.1796782	aerobe	7.033152	Saline	10.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Sphingobacteriia_Sphingobacteriales_Chitinophagaceae_Chitinophaga_pinensis_DSM_2588	GCA_000024005.1	Bacteroidetes	31.31067206	aerobe	5.453293	Freshwater	6.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Sphingobacteriia_Sphingobacteriales_Chitinophagaceae_Niabella_soli_JS13_8_DSM_19437	GCA_000243115.3	Bacteroidetes	32.16722995	aerobe	7.006545	Plant	8.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Sphingobacteriia_Sphingobacteriales_Chitinophagaceae_Niastella_koreensis_GR20_10_DSM_17620	GCA_000246855.1	Bacteroidetes	32.39333322	aerobe	5.070485	Plant	21.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Sphingobacteriia_Sphingobacteriales_Saprospiraceae_Haliscomenobacter_hydrossis_O_DSM_1100	GCA_000212735.1	Bacteroidetes	32.14569352	aerobe	5.511418	Engineered	5.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Sphingobacteriia_Sphingobacteriales_Saprospiraceae_Saprospira_grandis_Lewin	GCA_000250635.1	Bacteroidetes	33.08294965	aerobe	6.336522	Saline	1.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Sphingobacteriia_Sphingobacteriales_Sphingobacteriaceae_Arcticibacter_svalbardensis_MN12_7	GCA_000403135.1	Bacteroidetes	30.50887424	aerobe	6.762902		
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Sphingobacteriia_Sphingobacteriales_Sphingobacteriaceae_Mucilaginibacter_paludis_TPT56_DSM_18603	GCA_000166195.3	Bacteroidetes	33.60867096	aerobe	5.0248036	Terrestrial	9.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Sphingobacteriia_Sphingobacteriales_Sphingobacteriaceae_Pedobacter_saltans_DSM_12145	GCA_000190735.2	Bacteroidetes	28.11064955	aerobe	5.895376	Terrestrial	2.0
Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Sphingobacteriia_Sphingobacteriales_Sphingobacteriaceae_Solitalea_canadensis_USAM_9D_DSM_3403	GCA_000242635.3	Bacteroidetes	30.03758049	aerobe	5.805232	Host-associated	2.0
Bacteria_Bacteroidetes_Chlorobi_group_Chlorobi_Chlorobia_Chlorobiales_Chlorobiaceae_Chlorobaculum_parvum_NCIB_8327	GCA_000020505.1	Bacteroidetes	34.79547982	anaerobe	5.751116	Freshwater	3.0
Bacteria_Bacteroidetes_Chlorobi_group_Chlorobi_Chlorobia_Chlorobiales_Chlorobiaceae_ChlorobiumPelodictyon_group_Pelodictyon_luteolum_DSM_273	GCA_000012485.1	Bacteroidetes	30.69117002	anaerobe	7.3073826	Freshwater	3.0
Bacteria_Bacteroidetes_Chlorobi_group_Chlorobi_Chlorobia_Chlorobiales_Chlorobiaceae_Chloroherpeton_thalassium_ATCC_35110	GCA_000020525.1	Bacteroidetes	35.37193178	anaerobe	7.4360027	Freshwater	1.0
Bacteria_Bacteroidetes_Chlorobi_group_Chlorobi_Chlorobia_Chlorobiales_Chlorobiaceae_Prosthecochloris_aestuarii_DSM_271	GCA_000020625.1	Bacteroidetes	35.55451849	anaerobe	6.0221767	Freshwater	5.0
Bacteria_Bacteroidetes_Chlorobi_group_Ignavibacteria_Ignavibacteria_Ignavibacteriales_Ignavibacteriaceae_Ignavibacterium_album_Mat9_16_JCM_16511	GCA_000258405.1	Bacteroidetes	39.48702604	aerobe	5.929276	Hydrothermal	5.0
Bacteria_Bacteroidetes_Chlorobi_group_Ignavibacteria_Ignavibacteria_Ignavibacteriales_Ignavibacteriaceae_Melioribacter_roseus_P3M	GCA_000279145.1	Bacteroidetes	46.11792888	anaerobe	6.825854	Hydrothermal	6.0
Bacteria_Bdellovibrio_Bdellovibrionales_Bacteroivoracaceae_GWA2_Bdellovibrionales_49_15	GCA_001769855.1	Bdellovibrio	28.59938543	anaerobe	6.731247		
Bacteria_Bdellovibrio_Bdellovibrionales_Bdellovibrionaceae_GWA1_Bdellovibrionales_52_35	GCA_001769805.1	Bdellovibrio	29.41321876	anaerobe	7.0192895		
Bacteria_Bdellovibrio_Bdellovibrionales_RBG_16_Bdellovibrionales_40_8	GCA_001769925.1	Bdellovibrio	33.17338132	anaerobe	6.7106404	Terrestrial	1.0
Bacteria_CPR2_CG2_30_FULL_CPR2_33_46	GCA_001872935.1	CPR2	41.86933692	anaerobe	6.244573		
Bacteria_CPR2_CG2_30_FULL_CPR2_37_16	GCA_001872945.1	CPR2	42.5048036	anaerobe	6.396523		
Bacteria_CPR2_GWC2_CPR2_39_10	GCA_000993275.1	CPR2	41.60101394	anaerobe	6.1672015		
Bacteria_CPR2_GWD2_CPR2_39_7	GCA_000995395.1	CPR2	39.21897461	anaerobe	5.891136	Freshwater	1.0
Bacteria_CPR_Berkelbacteria_ACD58_GWE1_Berkelbacteria_39_12_complete	GCA_001029735.1	CPR	37.3498104	anaerobe	6.520931	Freshwater	1.0
Bacteria_CPR_Berkelbacteria_RIFCSPLOWO2_01_FULL_Berkelbacteria_50_28	GCA_001774395.1	CPR	27.50612087	anaerobe	6.5263023		
Bacteria_CPR_Berkelbacteria_RIFOXYA2_FULL_Berkelbacteria_43_10	GCA_001776195.1	CPR	38.88832807	anaerobe	6.9247026	Freshwater	1.0
Bacteria_CPR_CPR3_GWF2_CPR3_35_18	GCA_000990575.1	CPR	35.48870827	anaerobe	7.2859674	Freshwater	1.0
Bacteria_CPR_Doykabacteria_WS6_RIFOXYB1_FULL_WS6_33_15	GCA_001771775.1	CPR	33.34825915	anaerobe	6.018264	Terrestrial	1.0
Bacteria_CPR_Kazan_GWA1_Kazan_50_15_complete	GCA_001029795.1	CPR	36.73522542	anaerobe	6.194786		
Bacteria_CPR_Kazan_RBG_13_KAZAN_50_9	GCA_001772255.1	CPR	41.53592833	anaerobe	6.1053123		
Bacteria_CPR_Kazan_RIFCSPLOWO2_01_FULL_KAZAN_45_19	GCA_001771215.1	CPR	36.3279181	anaerobe	6.723633		
Bacteria_CPR_Kazan_RIFCSPLOWO2_01_FULL_KAZAN_48_13	GCA_001771275.1	CPR	35.47914012	anaerobe	6.3481283		
Bacteria_CPR_Microgenomates_OP11_Amesbacteria_GWB1_OP11_47_19	GCA_001002325.1	CPR	37.98288966	anaerobe	7.1312604	Terrestrial	1.0
Bacteria_CPR_Microgenomates_OP11_Amesbacteria_RIFCSPHIGHO2_01_FULL_OP11_Amesbacteria_48_32	GCA_001773615.1	CPR	41.40067286	anaerobe	7.1434417		
Bacteria_CPR_Microgenomates_OP11_Amesbacteria_RIFCSPHIGHO2_01_FULL_OP11_Amesbacteria_48_32b	GCA_001775605.1	CPR	40.29886903	anaerobe	6.494619		
Bacteria_CPR_Microgenomates_OP11_Amesbacteria_RIFCSPHIGHO2_12_FULL_OP11_Amesbacteria_48_14	GCA_001773645.1	CPR	41.85264862	anaerobe	7.018227		
Bacteria_CPR_Microgenomates_OP11_Amesbacteria_RIFOXYB1_FULL_OP11_Amesbacteria_44_23	GCA_001773775.1	CPR	40.8840666	anaerobe	7.3004646		
Bacteria_CPR_Microgenomates_OP11_Beckwithbacteria_CG1_02_FULL_Beckwithbacteria_OP11_47_37	GCA_001872035.1	CPR	42.95579017	anaerobe	7.2789793		
Bacteria_CPR_Microgenomates_OP11_Beckwithbacteria_GWC1_OP11_49_16_complete	GCA_001029675.1	CPR	45.81831299	anaerobe	6.549129	Terrestrial	1.0
Bacteria_CPR_Microgenomates_OP11_Collierbacteria_GWA2_OP11_42_17	GCA_000998275.1	CPR	38.55355534	anaerobe	6.6035495	Freshwater	1.0
Bacteria_CPR_Microgenomates_OP11_Collierbacteria_GWA2_OP11_ACD61_44_13	GCA_001000665.1	CPR	36.01561828	anaerobe	6.313135		
Bacteria_CPR_Microgenomates_OP11_Collierbacteria_RIFCSPHIGHO2_01_FULL_OP11_Collierbacteria_50_25	GCA_001774535.1	CPR	39.21801836	anaerobe	6.6798944		
Bacteria_CPR_Microgenomates_OP11_Collierbacteria_RIFOXYC2_FULL_OP11_Collierbacteria_43_15	GCA_001774675.1	CPR	35.93314445	anaerobe	6.5696926	Terrestrial	3.0
Bacteria_CPR_Microgenomates_OP11_Curtissbacteria_RIFCSPHIGHO2_01_FULL_OP11_Curtissbacteria_41_11	GCA_001776335.1	CPR	41.51826416	anaerobe	7.248743		
Bacteria_CPR_Microgenomates_OP11_Curtissbacteria_RIFCSPHIGHO2_01_FULL_OP11_Curtissbacteria_41_44	GCA_001774835.1	CPR	46.56027617	anaerobe	7.137146	Freshwater	2.0
Bacteria_CPR_Microgenomates_OP11_Curtissbacteria_RIFCSPHIGHO2_02_FULL_OP11_Curtissbacteria_40_16	GCA_001776375.1	CPR	39.3048995	anaerobe	7.855692		
Bacteria_CPR_Microgenomates_OP11_Curtissbacteria_RIFCSPLOWO2_01_FULL_OP11_Curtissbacteria_42_26	GCA_001775025.1	CPR	40.9455839	anaerobe	7.152355		
Bacteria_CPR_Microgenomates_OP11_Curtissbacteria_RIFCSPLOWO2_02_FULL_OP11_Curtissbacteria_40_11	GCA_001776505.1	CPR	38.63914017	anaerobe	6.1679354	Terrestrial	1.0
Bacteria_CPR_Microgenomates_OP11_Curtissbacteria_RIFCSPLOWO2_02_OP11_Curtissbacteria_41_11	GCA_001775055.1	CPR	47.16160274	anaerobe	8.229264	Terrestrial	3.0
Bacteria_CPR_Microgenomates_OP11_Daviesbacteria_GWB1_OP11_41_15	GCA_000996555.1	CPR	39.46392913	anaerobe	5.953605		
Bacteria_CPR_Microgenomates_OP11_Daviesbacteria_RIFCSPHIGHO2_01_FULL_OP11_Daviesbacteria_40_11	GCA_001776635.1	CPR	37.84324905	anaerobe	7.2010736		
Bacteria_CPR_Microgenomates_OP11_Daviesbacteria_RIFCSPHIGHO2_01_FULL_OP11_Daviesbacteria_41_45	GCA_001776975.1	CPR	33.69688046	anaerobe	7.01554	Freshwater	1.0
Bacteria_CPR_Microgenomates_OP11_Daviesbacteria_RIFCSPHIGHO2_01_FULL_OP11_Daviesbacteria_44_29	GCA_001776985.1	CPR	30.89635148	anaerobe	6.817448		
Bacteria_CPR_Microgenomates_OP11_Daviesbacteria_RIFCSPHIGHO2_02_FULL_OP11_Daviesbacteria_36_13	GCA_001777015.1	CPR	35.78618792	anaerobe	6.42828		
Bacteria_CPR_Microgenomates_OP11_Daviesbacteria_RIFCSPHIGHO2_02_FULL_OP11_Daviesbacteria_39_12	GCA_001777055.1	CPR	35.45357675	anaerobe	5.8212	Terrestrial	1.0
Bacteria_CPR_Microgenomates_OP11_Daviesbacteria_RIFCSPHIGHO2_12_FULL_OP11_Daviesbacteria_37_11	GCA_001777095.1	CPR	35.85419861	anaerobe	7.0186033	Freshwater	1.0
Bacteria_CPR_Microgenomates_OP11_Daviesbacteria_RIFCSPHIGHO2_12_FULL_OP11_Daviesbacteria_37_16	GCA_001776785.1	CPR	38.61437501	anaerobe	6.9730415		
Bacteria_CPR_Microgenomates_OP11_Daviesbacteria_RIFCSPHIGHO2_12_FULL_OP11_Daviesbacteria_43_11	GCA_001776835.1	CPR	43.88604487	anaerobe	6.2638593		
Bacteria_CPR_Microgenomates_OP11_Daviesbacteria_RIFCSPLOWO2_02_FULL_OP11_Daviesbacteria_38_18	GCA_001777435.1	CPR	39.6893696	anaerobe	6.9201436		
Bacteria_CPR_Microgenomates_OP11_Daviesbacteria_RIFOXYD1_FULL_OP11_Daviesbacteria_41_10	GCA_001777495.1	CPR	40.86223971	anaerobe	5.886292		
Bacteria_CPR_Microgenomates_OP11_GWB1_OP11_45_17	GCA_001001445.1	CPR	39.97566632	anaerobe	6.345143		
Bacteria_CPR_Microgenomates_OP11_GWB1_OP11_45_5	GCA_001816645.1	CPR	42.05084686	anaerobe	6.77511		
Bacteria_CPR_Microgenomates_OP11_GWF1_OP11_44_10	GCA_001000345.1	CPR	38.0416242	anaerobe	5.798418		
Bacteria_CPR_Microgenomates_OP11_GWF1_OP11_46_12	GCA_001002205.1	CPR	37.37426304	anaerobe	7.3331137	Freshwater	1.0
Bacteria_CPR_Microgenomates_OP11_Gottesmanbacteria_GWA2_OP11_43_14	GCA_000999095.1	CPR	41.84975809	anaerobe	6.45084		
Bacteria_CPR_Microgenomates_OP11_Gottesmanbacteria_GWA2_OP11_nov_42_16	GCA_000998235.1	CPR	42.74850348	anaerobe	6.5639706		
Bacteria_CPR_Microgenomates_OP11_Gottesmanbacteria_RBG_16_OP11_Gottesmanbacteria_52_11	GCA_001779095.1	CPR	42.17826604	anaerobe	7.2130494		
Bacteria_CPR_Microgenomates_OP11_Gottesmanbacteria_RIFCSPHIGHO2_01_FULL_OP11_Gottesmanbacteria_42_12	GCA_001779145.1	CPR	44.05373236	anaerobe	6.385849		
Bacteria_CPR_Microgenomates_OP11_Gottesmanbacteria_RIFCSPHIGHO2_01_FULL_OP11_Gottesmanbacteria_46_14	GCA_001780895.1	CPR	43.54995905	anaerobe	6.2360325		
Bacteria_CPR_Microgenomates_OP11_Gottesmanbacteria_RIFCSPHIGHO2_02_FULL_OP11_Gottesmanbacteria_39_11	GCA_001779195.1	CPR	39.43487505	anaerobe	6.496917		
